Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"K4_a",normal,1,Failed,"Holding Area Patrol","Holding Area Patrol: Objective #1","1","10:06:08","10:09:49",
Bot3,"Crackbone",normal,5,Failed,"Delivery From the Past","Zone case_extraction","1","10:06:08","10:07:20",
Bot5,"toaddsworth",normal,13,Failed,"Scout","Zone place_pacemaker_SCOUT_02","1","10:06:08","10:06:12",
Bot4,"NORVINSK_EVANGELION",normal,21,Failed,"Scout","Zone place_pacemaker_SCOUT_03","1","10:06:08","10:07:54",
Bot6,"Ilhsiek",normal,9,Failed,"The Huntsman Path - Secured Perimeter","Zone huntsman_013","1","10:06:08","10:09:42",
Bot8,"crustyselenium_",normal,3,Failed,"The Huntsman Path - Secured Perimeter","Zone huntsman_013","1","10:07:08","10:07:11",
