Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot97,"冰淇淋",normal,17,Failed,"Blue Room","Blue Room: Objective #1","1","19:35:26","19:35:26",
Bot97,"冰淇淋",normal,17,Failed,"Blue Room","Blue Room: Objective #2","1","19:35:31","19:35:35",
Bot97,"冰淇淋",normal,17,Failed,"Main Working Area West","Main Working Area West: Objective #1","1","19:35:40","19:35:51",
Bot97,"冰淇淋",normal,17,Failed,"Main Working Area West","Main Working Area West: Objective #2","1","19:35:56","19:35:59",
Bot97,"冰淇淋",normal,17,Failed,"Main Working Area West","Main Working Area West: Objective #6","1","19:36:04","19:36:16",
Bot97,"冰淇淋",normal,17,Failed,"Main Working Area West","Main Working Area West: Objective #3","1","19:36:21","19:36:28",
Bot97,"冰淇淋",normal,17,Failed,"Main Working Area West","Main Working Area West: Objective #5","1","19:36:33","19:36:48",
Bot97,"冰淇淋",normal,17,Failed,"Main Working Area West","Main Working Area West: Objective #4","1","19:36:54","19:36:56",
Bot99,"Gyozone",normal,11,Failed,"Server Room Control Room","Server Room Control Room: Objective #1","3","19:35:26","19:45:50",
Bot98,"Cheese",normal,12,Completed,"Main Working Area East","Main Working Area East: Objective #1","1","19:35:26","19:35:36",
Bot98,"Cheese",normal,12,Completed,"Main Working Area East","Main Working Area East: Objective #2","1","19:35:41","19:35:51",
Bot98,"Cheese",normal,12,Failed,"Main Working Area East","Main Working Area East: Objective #3","1","19:35:56","19:41:46",
Bot98,"Cheese",normal,12,Failed,"Server Room Control Room","Server Room Control Room: Objective #1","1","19:36:33","19:41:46",
Bot101,"3 TO 8 BATTLE CRABS",normal,9,Pending,"Main Working Area West","Main Working Area West: Objective #2","1","19:35:26","N/A",
Bot100,"DrakiaXYZ",normal,15,Failed,"Green Room","Green Room: Objective #7","1","19:35:26","19:39:10",
