Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot94,"Belzedar",normal,12,Completed,"Tartowers","Tartowers: Objective #3","1","13:46:21","13:47:07",
Bot94,"Belzedar",normal,12,Completed,"Tartowers","Tartowers: Objective #4","1","13:47:12","13:47:51",
Bot94,"Belzedar",normal,12,Failed,"Tartowers","Tartowers: Objective #1","1","13:47:57","13:49:11",
Bot96,"MissingInAction",normal,13,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","13:46:21","13:47:05",
Bot96,"MissingInAction",normal,13,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","13:48:05","13:50:18",
Bot97,"PoppleO",normal,12,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #2","1","13:46:22","13:46:28",
Bot97,"PoppleO",normal,12,Pending,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #1","1","13:46:33","N/A",
Bot98,"Corty",normal,12,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","13:46:22","13:50:26",
