Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"MusicManiac",normal,12,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","22:54:50","22:55:25",
Bot2,"MusicManiac",normal,12,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","22:56:25","22:58:23",
Bot1,"老人",normal,10,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","22:54:50","22:55:37",
Bot1,"老人",normal,10,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","22:56:37","23:00:04",
Bot3,"bluehead",normal,10,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #5","1","22:54:50","22:56:04",
Bot4,"Kilgor616",normal,11,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","22:54:51","22:57:31",
Bot6,"Revingly",normal,7,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","22:54:51","22:59:40",
Bot5,"jiblet",normal,4,Failed,"Olive Restaurant","Olive Restaurant: Objective #6","1","22:54:51","22:56:34",
Bot9,"r2go",normal,12,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","22:56:18","22:56:20",
Bot9,"r2go",normal,12,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","22:56:25","22:57:23",
Bot9,"r2go",normal,12,Active,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","22:57:28","N/A",
Bot20,"Pettan",normal,7,Pending,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","23:00:27","N/A",
Bot19,"jehree",normal,6,Active,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","23:00:27","N/A",
Bot21,"MacrossMX7167",normal,10,Active,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","23:00:50","N/A",
