Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot62,"Helldiver",normal,12,Failed,"Rec Area 2nd Floor Patrol","Rec Area 2nd Floor Patrol: Objective #2","1","19:10:55","19:12:06",
Bot61,"Belette",normal,17,Pending,"Main Elevator Power Switch","Main Elevator Power Switch: Objective #1","1","19:10:55","N/A",
Bot59,"Choccy",normal,14,Active,"Sewage Conduit Pump Switch","Sewage Conduit Pump Switch: Objective #1","1","19:10:55","N/A",
Bot58,"Crow",normal,16,Failed,"Manager's Office","Manager's Office: Objective #1","1","19:10:55","19:11:55",
Bot60,"bunray",normal,16,Failed,"Admin Office","Admin Office: Objective #1","1","19:10:55","19:12:02",
Bot63,"GGaulin",normal,16,Failed,"Hangar Gate Controls","Hangar Gate Controls: Objective #1","1","19:10:55","19:11:41",
Bot64,"Sanote",normal,1,Failed,"Rec Area 2nd Floor Patrol","Rec Area 2nd Floor Patrol: Objective #5","1","19:10:55","19:11:56",
