Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot36,"职业玩家",normal,11,Failed,"Goshan Food Spawns","Goshan Food Spawns: Objective #3","1","13:12:10","13:13:07",
Bot37,"craink",normal,12,Active,"Goshan Food Spawns","Goshan Food Spawns: Objective #3","1","13:12:10","N/A",
Bot40,"Nomad_420",normal,6,Failed,"Mantis","Mantis: Objective #1","1","13:12:10","13:15:58",
Bot38,"LimboFPS",normal,12,Failed,"Mantis","Mantis: Objective #2","1","13:12:10","13:12:48",
Bot41,"oroku",normal,8,Pending,"Generic","Generic: Objective #1","1","13:12:10","N/A",
Bot42,"TechHappy",normal,6,Failed,"Techlight","Techlight: Objective #1","1","13:12:10","13:15:19",
Bot43,"ItsRenke",normal,13,Pending,"Generic","Generic: Objective #1","1","13:12:10","N/A",
