Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot4,"Miraki",normal,11,Completed,"Crackhouse Rush","Crackhouse Rush: Objective #1","1","13:14:57","13:24:35",
Bot4,"Miraki",normal,11,Completed,"Crackhouse","Crackhouse: Objective #3","1","13:24:40","13:24:56",
Bot4,"Miraki",normal,11,Completed,"Crackhouse","Crackhouse: Objective #2","1","13:25:01","13:25:19",
Bot4,"Miraki",normal,11,Completed,"Crackhouse","Crackhouse: Objective #4","1","13:25:24","13:25:34",
Bot4,"Miraki",normal,11,Completed,"Crackhouse","Crackhouse: Objective #1","1","13:25:39","13:26:17",
Bot4,"Miraki",normal,11,Completed,"Crackhouse","Crackhouse: Objective #5","1","13:26:22","13:26:50",
Bot4,"Miraki",normal,11,Completed,"Crackhouse","Crackhouse: Objective #7","1","13:26:55","13:27:22",
Bot4,"Miraki",normal,11,Completed,"Crackhouse","Crackhouse: Objective #6","2","13:27:27","13:37:58",
Bot4,"Miraki",normal,11,Pending,"Garage","Garage: Objective #1","1","13:38:03","N/A",
Bot6,"3 TO 8 BATTLE CRABS",normal,14,Failed,"Dorms 2 Story Rush","Dorms 2 Story Rush: Objective #1","1","13:14:57","13:35:36",
Bot5,"gansik",normal,8,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #7","2","13:14:57","13:18:07",
Bot5,"gansik",normal,8,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #8","1","13:18:12","13:19:21",
Bot5,"gansik",normal,8,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #3","2","13:19:26","13:21:14",
Bot5,"gansik",normal,8,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #1","1","13:21:19","13:21:34",
Bot5,"gansik",normal,8,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #6","1","13:21:39","13:22:08",
Bot5,"gansik",normal,8,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #4","1","13:22:13","13:22:56",
Bot5,"gansik",normal,8,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #2","1","13:23:01","13:24:43",
Bot5,"gansik",normal,8,Completed,"The Huntsman Path - Evil Watchman","Zone huntsman_020","1","13:24:48","13:25:30",
Bot5,"gansik",normal,8,Failed,"Between Two Fires","Item Compromising information on Ref","1","13:25:35","13:25:51",
Bot5,"gansik",normal,8,Completed,"Operation Aquarius - Part 1","Zone room206_water","1","13:25:56","13:27:46",
Bot5,"gansik",normal,8,Pending,"Bad Rep Evidence","Item Secure Folder 0031","1","13:27:51","N/A",
Bot5,"gansik",normal,8,Completed,"BP Depot","Zone fuel2","1","13:29:59","13:31:33",
Bot5,"gansik",normal,8,Pending,"BP Depot","Zone fuel3","1","13:32:03","N/A",
Bot3,"_物是人非",normal,13,Completed,"Fortress","Fortress: Objective #1","1","13:14:57","13:15:04",
Bot3,"_物是人非",normal,13,Failed,"Fortress","Fortress: Objective #3","1","13:15:09","13:18:41",
Bot7,"SirTyler",normal,10,Active,"Easy Money - Part 1","Zone place_flyers1","1","13:14:57","N/A",
Bot8,"Akiw",normal,10,Active,"The Extortionist","Item Secure Folder 0048","1","13:14:57","N/A",
Bot9,"adudewithbadaim",normal,7,Completed,"BP Depot","Zone fuel4","1","13:16:26","13:16:55",
Bot9,"adudewithbadaim",normal,7,Completed,"BP Depot","Zone fuel2","1","13:17:25","13:23:35",
Bot9,"adudewithbadaim",normal,7,Failed,"The Extortionist","Zone dead_posylni","1","13:24:05","13:30:21",
Bot10,"Akiw",normal,13,Failed,"Delivery From the Past","Item Secure Folder 0022","1","13:16:26","13:30:43",
Bot22,"Tron",normal,7,Failed,"The Extortionist","Zone vremyan_case","1","13:19:28","13:22:40",
Bot32,"Clerance",normal,1,Active,"Substation","Substation: Objective #4","1","13:20:58","N/A",
Bot35,"openingspark860",normal,22,Pending,"Tigr Safari","Zone place_peacemaker_002_N2","1","13:21:45","N/A",
Bot33,"Virtual",normal,7,Active,"Easy Money - Part 1","Zone place_flyers1","1","13:21:45","N/A",
Bot34,"Bingus",normal,6,Pending,"BP Depot","Zone fuel1","1","13:21:45","N/A",
Bot40,"Pettan",normal,9,Failed,"The Extortionist","Zone dead_posylni","1","13:23:32","13:28:32",
Bot39,"Lua",normal,16,Completed,"The Extortionist","Zone dead_posylni","1","13:23:32","13:24:11",
Bot39,"Lua",normal,16,Failed,"The Extortionist","Item Secure Folder 0048","1","13:24:17","13:29:18",
Bot46,"defonotmaple",normal,3,Failed,"Easy Money - Part 1","Zone place_flyers1","1","13:24:59","13:25:16",
Bot48,"Юра Сявка (!Komino Style!)",normal,1,Failed,"Warehouse 17","Warehouse 17: Objective #1","1","13:25:13","13:30:41",
Bot52,"dav1dct",normal,2,Failed,"Fortress","Fortress: Objective #2","1","13:25:18","13:37:11",
Bot51,"Corty",normal,7,Completed,"Easy Money - Part 1","Zone place_flyers1","2","13:25:19","13:26:06",
Bot51,"Corty",normal,7,Completed,"Fortress","Fortress: Objective #1","1","13:26:11","13:26:58",
Bot51,"Corty",normal,7,Completed,"Fortress","Fortress: Objective #2","1","13:27:03","13:27:33",
Bot51,"Corty",normal,7,Completed,"Fortress","Fortress: Objective #8","3","13:27:38","13:29:01",
Bot51,"Corty",normal,7,Completed,"Fortress","Fortress: Objective #3","1","13:29:06","13:29:54",
Bot51,"Corty",normal,7,Completed,"Fortress","Fortress: Objective #6","1","13:29:59","13:30:42",
Bot51,"Corty",normal,7,Completed,"Fortress","Fortress: Objective #9","4","13:30:47","13:31:50",
Bot51,"Corty",normal,7,Completed,"Fortress","Fortress: Objective #4","1","13:31:55","13:32:41",
Bot51,"Corty",normal,7,Failed,"Factory Shacks","Factory Shacks: Objective #1","1","13:32:46","13:34:13",
Bot60,"BaddestDragon",normal,24,Completed,"Crackhouse","Crackhouse: Objective #4","1","13:30:02","13:31:00",
Bot60,"BaddestDragon",normal,24,Completed,"Crackhouse","Crackhouse: Objective #2","1","13:31:06","13:31:19",
Bot60,"BaddestDragon",normal,24,Failed,"Crackhouse","Crackhouse: Objective #3","1","13:31:25","13:32:53",
Bot68,"Paulov",normal,9,Completed,"Storage","Storage: Objective #1","1","13:33:33","13:33:52",
Bot68,"Paulov",normal,9,Pending,"Storage","Storage: Objective #2","1","13:33:57","N/A",
Bot73,"Terkoiz",normal,25,Pending,"RUAF Checkpoint","RUAF Checkpoint: Objective #1","1","13:33:53","N/A",
Bot71,"adudewithbadaim",normal,3,Completed,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","13:33:53","13:35:05",
Bot71,"adudewithbadaim",normal,3,Completed,"Storage","Storage: Objective #8","1","13:35:10","13:37:30",
Bot71,"adudewithbadaim",normal,3,Active,"Storage","Storage: Objective #7","1","13:37:35","N/A",
Bot72,"ItsRenke",normal,7,Pending,"Big Red","Big Red: Objective #4","1","13:33:53","N/A",
Bot77,"John Pork",normal,13,Completed,"Dorms 3 Story Roof Sniping","Dorms 3 Story Roof Sniping: Objective #1","2","13:35:08","13:36:20",
Bot77,"John Pork",normal,13,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #7","2","13:36:25","13:36:42",
Bot77,"John Pork",normal,13,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #8","1","13:36:47","13:37:24",
Bot77,"John Pork",normal,13,Active,"Dorms 3 Story","Dorms 3 Story: Objective #3","2","13:37:29","N/A",
Bot80,"Belzedar",normal,8,Completed,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","13:35:37","13:36:13",
Bot80,"Belzedar",normal,8,Active,"Crackhouse","Crackhouse: Objective #6","1","13:36:19","N/A",
Bot81,"Витян Соломон (Junko Space Mommy)",normal,1,Failed,"Power Switch","Power Switch: Objective #1","1","13:36:17","13:36:39",
Bot81,"Витян Соломон (Junko Space Mommy)",normal,1,Active,"Old Gas","Old Gas: Objective #2","1","13:36:40","N/A",
Bot85,"Изя Программист (Cannuccia)",normal,1,Active,"Ice Cream","Ice Cream: Objective #1","1","13:37:03","N/A",
