Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot73,"redlaser42",normal,21,Active,"Steady Signal","Zone q14_8_2","1","23:10:36","N/A",
Bot74,"RomanxTheLast",normal,19,Failed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","23:10:37","23:14:02",
Bot75,"7 TO 14 FERAL HOGS",normal,16,Failed,"Gratitude","Zone place_THX_15","1","23:10:37","23:17:28",
Bot76,"Agnotology",normal,10,Completed,"Scav Base","Scav Base: Objective #3","1","23:10:37","23:10:47",
Bot76,"Agnotology",normal,10,Failed,"Scav Base","Scav Base: Objective #2","1","23:10:53","23:11:12",
Bot79,"Doge",normal,16,Completed,"Steady Signal","Zone q14_8_5","1","23:10:38","23:11:00",
Bot79,"Doge",normal,16,Completed,"Steady Signal","Zone q14_8_2","1","23:11:30","23:16:21",
Bot79,"Doge",normal,16,Completed,"Spine","Spine: Objective #1","1","23:16:52","23:17:59",
Bot79,"Doge",normal,16,Failed,"Spine","Spine: Objective #2","1","23:18:04","23:20:54",
Bot77,"Kiobu",normal,6,Completed,"Scav Town Sniping","Scav Town Sniping: Objective #1","2","23:10:38","23:18:30",
Bot77,"Kiobu",normal,6,Completed,"Scav Town Sniping","Scav Town Sniping: Objective #2","2","23:18:35","23:20:14",
Bot77,"Kiobu",normal,6,Completed,"Scav Town Sniping","Scav Town Sniping: Objective #3","2","23:20:19","23:21:50",
Bot77,"Kiobu",normal,6,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","23:21:55","23:25:24",
Bot77,"Kiobu",normal,6,Failed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","1","23:25:30","23:27:55",
Bot78,"scrob",normal,24,Failed,"Informed Means Armed","Zone place_skier_11_1","1","23:10:38","23:11:24",
Bot80,"Agnotology",normal,23,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","23:10:38","23:11:12",
Bot80,"Agnotology",normal,23,Failed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2_1","1","23:11:42","23:12:16",
Bot82,"gasmo",normal,18,Failed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","23:10:38","23:20:52",
