Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot76,"Dueleus",normal,12,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","18:57:01","18:59:12",
Bot75,"btdc00",normal,11,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","18:57:02","18:58:37",
Bot75,"btdc00",normal,11,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","18:59:37","19:07:42",
Bot78,"weewoo",normal,10,Failed,"Olive Restaurant","Olive Restaurant: Objective #5","1","18:57:02","19:07:29",
Bot79,"Bingus",normal,6,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","18:57:02","18:57:44",
Bot79,"Bingus",normal,6,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","18:57:49","18:58:14",
Bot79,"Bingus",normal,6,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","18:58:20","18:58:39",
Bot79,"Bingus",normal,6,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","18:58:44","19:10:43",
Bot80,"DanCam38",normal,8,Completed,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","18:58:36","19:18:14",
Bot80,"DanCam38",normal,8,Completed,"Luxurious Life","Item Bottle of Le Jean wine","1","19:18:19","19:18:40",
Bot80,"DanCam38",normal,8,Completed,"Underground North","Underground North: Objective #5","1","19:18:46","19:20:54",
Bot80,"DanCam38",normal,8,Completed,"Underground North","Underground North: Objective #4","2","19:20:59","19:21:27",
Bot80,"DanCam38",normal,8,Failed,"Underground North","Underground North: Objective #3","1","19:21:33","19:22:22",
Bot81,"红衣抚琴染绛天涯",normal,12,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","18:58:36","19:02:23",
Bot87,"DasWulf",normal,6,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","19:01:36","19:01:42",
Bot87,"DasWulf",normal,6,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","19:02:43","19:11:29",
Bot88,"adudewithbadaim",normal,10,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","19:01:37","19:08:04",
Bot89,"Wrecker",normal,14,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","19:02:01","19:02:10",
Bot91,"Савва Калач (Tron)",normal,1,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","19:02:26","19:10:09",
Bot93,"jbs4bmx",normal,11,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","19:03:27","19:08:35",
Bot93,"jbs4bmx",normal,11,Failed,"Mira Avenue Extract Camping","Mira Avenue Extract Camping: Objective #1","2","19:08:40","19:11:45",
Bot101,"VirtualHex",normal,8,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","19:05:00","19:05:07",
Bot101,"VirtualHex",normal,8,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","19:06:07","19:15:13",
Bot109,"PaPaSamBuBu",normal,9,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","19:09:29","19:10:03",
Bot110,"crustyselenium_",normal,12,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","19:09:32","19:11:08",
Bot116,"agavalda",normal,13,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","19:12:04","19:13:06",
Bot125,"Федот Рыбак (BrandoTheDev)",normal,1,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #1","1","19:15:24","19:16:00",
Bot125,"Федот Рыбак (BrandoTheDev)",normal,1,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #2","1","19:16:05","19:21:15",
Bot126,"NORVINSK_EVANGELION",normal,6,Completed,"TerraGroup Lawn","TerraGroup Lawn: Objective #2","1","19:15:48","19:18:18",
Bot126,"NORVINSK_EVANGELION",normal,6,Pending,"TerraGroup Lawn","TerraGroup Lawn: Objective #3","1","19:18:23","N/A",
Bot127,"IsaacSin",normal,5,Pending,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","19:15:49","N/A",
Bot128,"Nootropix",normal,3,Pending,"TerraGroup Garage","TerraGroup Garage: Objective #2","1","19:15:49","N/A",
Bot129,"Антоха Реилган (witek)",normal,1,Active,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","1","19:15:59","N/A",
Bot131,"Авксентий Базука (Kiki)",normal,1,Active,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","19:15:59","N/A",
Bot134,"Ratthew",normal,10,Completed,"Tarbank","Tarbank: Objective #2","1","19:17:06","19:17:17",
Bot134,"Ratthew",normal,10,Completed,"Tarbank","Tarbank: Objective #1","1","19:17:22","19:17:39",
Bot134,"Ratthew",normal,10,Failed,"Tarbank","Tarbank: Objective #4","1","19:17:44","19:20:01",
Bot135,"RaiRaiTheRaichu",normal,10,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","1","19:17:06","19:23:11",
Bot133,"Колька Чекист (snowythefox811)",normal,1,Failed,"Underground South","Underground South: Objective #2","1","19:17:07","19:17:16",
Bot133,"Колька Чекист (snowythefox811)",normal,1,Failed,"Underground South","Underground South: Objective #1","1","19:17:21","19:17:36",
Bot133,"Колька Чекист (snowythefox811)",normal,1,Failed,"Underground South","Underground South: Objective #3","1","19:17:41","19:20:29",
Bot139,"Гоша Вертухай (savid_dubs)",normal,1,Active,"TerraGroup Office Upstairs Sniping","TerraGroup Office Upstairs Sniping: Objective #2","2","19:18:06","N/A",
Bot140,"Colonel",normal,13,Failed,"Nakatani Tower Camping","Nakatani Tower Camping: Objective #1","2","19:18:50","19:20:14",
Bot145,"Вован Программист (Ratthew)",normal,1,Active,"Olive Restaurant","Olive Restaurant: Objective #1","1","19:19:56","N/A",
Bot147,"Джонни Рожа (Platinum)",normal,1,Completed,"Underground North","Underground North: Objective #2","1","19:21:37","19:21:42",
Bot147,"Джонни Рожа (Platinum)",normal,1,Failed,"Underground North","Underground North: Objective #3","1","19:21:47","19:26:34",
Bot148,"HB",normal,11,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #2","1","19:23:49","19:25:20",
Bot155,"Никита Шнырь (Gizzy)",normal,1,Failed,"Capital Insight","Capital Insight: Objective #5","1","19:25:26","19:25:31",
Bot156,"rayleefx",normal,6,Pending,"Capital Insight","Capital Insight: Objective #5","4","19:25:26","N/A",
