Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Karthel",normal,38,Active,"Spawn Rush","Spawn Rush: Objective #1","1","20:57:20","N/A",
Bot5,"Gizzy",normal,13,Pending,"Scout","Zone place_pacemaker_SCOUT_01","1","20:57:20","N/A",
Bot6,"MemeG",normal,27,Active,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","1","20:57:20","N/A",
Bot7,"Kilgor616",normal,28,Pending,"Farming - Part 1","Zone place_SADOVOD_01_1","1","20:57:20","N/A",
Bot4,"Vega",normal,48,Active,"1st Floor Office","1st Floor Office: Objective #1","1","20:57:20","N/A",
Bot8,"MechanicMan396",normal,16,Active,"Bad Rep Evidence","Zone locked_office","1","20:57:21","N/A",
